Codul SIRUTA;Denumire UAT;Populatia UAT;Nr. max. posturi cf. pct. 1 din anexa la O.U.G nr. 63/2010;Reducere cu 40% nr. max posturi;Reducere cu 45% nr. max posturi;Posturi pt. evidența populației;Posturi pt. poliţia locală;1 post poliție la 1200 locuitori;Posturi pt. implementare proiecte europene;Posturi pt. șoferi microbuze şcolare;Posturi pt. postimplementare proiecte europene;TOTAL ACTUAL;TOTAL CU REDUCERE 40%;TOTAL CU REDUCERE 45%;POSTURI OCUPATE;Diferență reducere 40% vs. posturi ocupate;Diferență reducere 45% vs. posturi ocupate
10;CJ Alba;363660;378;227;208;25;0;0;10;0;0;413;262;243;237;25;6
1017;Alba Iulia;74448;486;292;267;17;75;62;10;0;65;653;446;421;519;-73;-98
1071;Ciugud;3307;20;12;11;0;0;0;5;0;1;26;18;17;17;1;0
1151;Abrud;4920;48;29;26;3;0;0;8;1;0;60;41;38;47;-6;-9
1213;Aiud;24174;158;95;87;6;23;20;10;0;0;197;131;123;108;23;15
1348;Blaj;20067;154;92;85;5;21;17;10;3;2;195;129;121;104;25;17
1455;Câmpeni;6965;59;35;32;5;8;6;0;0;0;72;46;43;65;-19;-22
1696;Cugir;24508;134;80;74;5;25;20;10;1;0;175;117;110;132;-15;-22
1794;Ocna Mureş;13511;108;65;59;4;14;11;5;1;0;132;86;81;88;-2;-7
1874;Sebeş;32121;186;112;102;9;33;27;10;0;0;238;157;148;199;-42;-51
1936;Zlatna;7620;63;38;35;3;8;6;8;1;0;83;56;53;61;-5;-8
2130;Albac;1893;16;10;9;0;0;0;0;1;0;17;11;10;15;-4;-5
2309;Almaşu Mare;1175;14;8;8;0;0;0;2;0;0;16;10;10;11;-1;-1
2381;Arieşeni;1484;15;9;8;0;0;0;3;2;0;20;14;13;11;3;2
2577;Avram Iancu;1377;15;9;8;0;0;0;3;1;0;19;13;12;15;-2;-3
2915;Baia De Arieş;3585;40;24;22;3;0;0;8;2;0;53;37;35;36;1;-1
2988;Berghin;1892;16;10;9;0;0;0;0;1;0;17;11;10;12;-1;-2
3039;Bistra;4372;27;16;15;0;0;0;5;1;1;34;23;22;22;1;0
3397;Blandiana;874;12;7;7;0;0;0;5;0;0;17;12;12;10;2;2
3459;Bucium;1330;15;9;8;0;0;0;3;1;0;19;13;12;15;-2;-3
3761;Cenade;1033;11;7;6;0;0;0;3;0;0;14;10;9;10;0;-1
3805;Cergău;1547;15;9;8;0;0;0;3;1;0;19;13;12;6;7;6
3841;Ceru-Băcăinţi;217;9;5;5;0;0;0;0;0;0;9;5;5;7;-2;-2
3958;Cetatea De Baltă;3062;20;12;11;0;3;3;0;0;0;23;15;14;17;-2;-3
4008;Ciuruleasa;1089;14;8;8;0;0;0;5;1;0;20;14;14;12;2;2
4106;Câlnic;1891;15;9;8;0;0;0;0;0;0;15;9;8;13;-4;-5
4142;Cricău;1919;17;10;9;0;0;0;0;0;0;17;10;9;13;-3;-4
4188;Crăciunelu De Jos;2136;17;10;9;0;0;0;0;0;0;17;10;9;10;0;-1
4240;Daia Română;3074;20;12;11;0;0;0;0;0;1;21;13;12;19;-6;-7
4268;Doştat;1026;11;7;6;0;0;0;5;1;0;17;13;12;8;5;4
4302;Fărău;1431;15;9;8;0;0;0;0;1;0;16;10;9;11;-1;-2
4366;Galda De Jos;4242;27;16;15;0;0;0;3;1;11;42;31;30;35;-4;-5
4482;Gârbova;2079;17;10;9;0;0;0;3;0;0;20;13;12;16;-3;-4
4525;Gârda De Sus;1389;15;9;8;0;0;0;0;1;0;16;10;9;14;-4;-5
4703;Hopârta;1114;14;8;8;0;0;0;0;1;0;15;9;9;11;-2;-2
4767;Horea;1873;17;10;9;0;0;0;2;0;0;19;12;11;15;-3;-4
4927;Ighiu;7093;35;21;19;3;0;0;5;0;0;43;29;27;37;-8;-10
4981;Întregalde;533;10;6;6;0;0;0;3;0;0;13;9;9;4;5;5
5103;Jidvei;5211;27;16;15;3;5;4;5;1;0;41;30;28;32;-2;-4
5167;Livezile;1104;14;8;8;0;0;0;0;1;0;15;9;9;12;-3;-3
5210;Lopadea Nouă;2463;20;12;11;0;0;0;3;0;0;23;15;14;15;0;-1
5309;Lunca Mureşului;2464;20;12;11;0;0;0;3;0;0;23;15;14;14;1;0
5336;Lupşa;2759;21;13;12;0;0;0;3;1;0;25;17;16;16;1;0
5577;Meteş;2695;20;12;11;0;0;0;3;0;0;23;15;14;16;-1;-2
5700;Mihalţ;3165;21;13;12;0;3;3;5;0;0;29;20;19;22;-2;-3
5755;Mirăslău;1875;16;10;9;0;0;0;2;0;0;18;12;11;15;-3;-4
5826;Mogoş;699;9;5;5;0;0;0;2;2;0;13;9;9;9;0;0
6048;Noşlac;1822;15;9;8;0;0;0;0;1;0;16;10;9;15;-5;-6
6119;Ocoliş;474;9;5;5;0;0;0;3;0;0;12;8;8;9;-1;-1
6164;Ohaba;555;9;5;5;0;0;0;0;0;0;9;5;5;8;-3;-3
6217;Pianu;3564;22;13;12;0;0;0;0;0;0;22;13;12;21;-8;-9
6271;Poiana Vadului;1027;13;8;7;0;0;0;0;1;0;14;9;8;12;-3;-4
6397;Ponor;596;9;5;5;0;0;0;0;0;0;9;5;5;9;-4;-4
6468;Poşaga;851;13;8;7;0;0;0;3;1;0;17;12;11;11;1;0
6547;Rădeşti;1235;14;8;8;0;0;0;3;0;0;17;11;11;14;-3;-3
6592;Rimetea;960;11;7;6;0;0;0;0;0;0;11;7;6;11;-4;-5
6627;Râmeţ;477;10;6;6;0;0;0;5;1;0;16;12;12;7;5;5
6761;Roşia Montană;2616;20;12;11;0;0;0;3;1;0;24;16;15;17;-1;-2
6930;Roşia De Secaş;1555;15;9;8;0;0;0;0;1;0;16;10;9;10;0;-1
6976;Sălciua;1324;15;9;8;0;0;0;5;1;1;22;16;15;16;0;-1
7044;Săliştea;2307;18;11;10;0;0;0;0;1;0;19;12;11;18;-6;-7
7099;Săsciori;6428;32;19;18;0;0;0;0;2;0;34;21;20;26;-5;-6
7197;Scărişoara;1428;15;9;8;0;0;0;0;3;0;18;12;11;15;-3;-4
7348;Sâncel;2554;20;12;11;0;0;0;0;0;0;20;12;11;14;-2;-3
7384;Sântimbru;2920;20;12;11;0;0;0;0;1;1;22;14;13;9;5;4
7446;Sohodol;1610;15;9;8;0;0;0;2;1;0;18;12;11;16;-4;-5
7767;Stremţ;2379;20;12;11;0;0;0;5;2;5;32;24;23;17;7;6
7810;Şibot;2300;19;11;10;0;0;0;3;1;1;24;16;15;16;0;-1
7865;Şona;4287;27;16;15;0;0;0;5;0;6;38;27;26;31;-4;-5
7945;Şpring;2462;20;12;11;0;0;0;5;1;0;26;18;17;18;0;-1
8014;Şugag;2793;20;12;11;0;0;0;0;1;0;21;13;12;19;-6;-7
8096;Teiuş;6925;59;35;32;3;7;6;3;2;3;77;52;49;48;4;1
8158;Unirea;4692;27;16;15;0;0;0;5;0;1;33;22;21;21;1;0
8229;Vadu Moţilor;1214;14;8;8;0;0;0;0;0;0;14;8;8;13;-5;-5
8354;Valea Lungă;3039;20;12;11;0;0;0;3;1;0;24;16;15;19;-3;-4
8425;Vidra;1507;15;9;8;0;0;0;3;1;0;19;13;12;18;-5;-6
8826;Vinţu De Jos;5436;28;17;15;0;0;0;3;2;0;33;22;20;25;-3;-5
9019;Cut;1257;14;8;8;0;0;0;0;0;0;14;8;8;7;1;1
9026;Bucerdea Grânoasă;2260;19;11;10;0;0;0;3;0;0;22;14;13;10;4;3
29;CJ Arad;460634;455;273;250;31;92;74;10;0;0;588;388;365;348;40;17
9262;Arad;168350;699;419;384;30;168;140;10;4;5;916;609;574;675;-66;-101
9280;Fântânele;3833;25;15;14;0;4;3;5;1;0;35;24;23;24;0;-1
9333;Livada;4484;30;18;17;0;0;0;8;1;0;39;27;26;24;3;2
9360;Şofronea;3049;25;15;14;0;0;0;5;1;0;31;21;20;22;-1;-2
9397;Vladimirescu;15253;60;36;33;3;15;13;10;1;0;89;63;60;50,5;12;9
9459;Chişineu-Criş;7972;72;43;40;4;8;7;10;1;0;95;65;61;68;-3;-7
9495;Curtici;8960;75;45;41;3;9;7;5;1;5;98;66;63;68;-2;-5
9538;Ineu;9337;75;45;41;4;10;8;10;1;10;110;78;74;76;2;-2
9574;Lipova;10742;85;51;47;5;11;9;10;2;0;113;77;73;87;-10;-14
9627;Nădlac;7621;69;41;38;3;8;6;10;2;0;92;63;59;72;-9;-13
9654;Pâncota;8251;69;41;38;3;0;0;8;2;8;90;62;59;50;12;9
9690;Sebiş;6077;54;32;30;3;0;0;8;2;1;68;46;44;47;-1;-3
9743;Almaş;2402;22;13;12;0;0;0;5;1;0;28;19;18;20;-1;-2
9798;Apateu;3259;25;15;14;0;0;0;3;2;0;30;20;19;19;1;0
9832;Archiş;1408;17;10;9;0;0;0;5;2;0;24;17;16;13;4;3
9887;Bata;1023;15;9;8;0;0;0;3;2;0;20;14;13;15;-1;-2
9930;Beliu;2913;22;13;12;3;0;0;5;2;1;33;24;23;20;4;3
10006;Birchiş;1768;17;10;9;0;0;0;3;0;0;20;13;12;15;-2;-3
10051;Bârsa;1720;17;10;9;0;0;0;5;2;0;24;17;16;11;6;5
10104;Bârzava;2299;22;13;12;0;3;2;8;3;0;36;26;25;18;8;7
10195;Bocsig;3311;24;14;13;0;0;0;8;2;0;34;24;23;16;8;7
10239;Brazii;1161;15;9;8;0;0;0;5;2;0;22;16;15;12;4;3
10293;Buteni;3243;25;15;14;0;0;0;5;1;0;31;21;20;23;-2;-3
10346;Cărand;1076;14;8;8;0;0;0;0;1;0;15;9;9;12;-3;-3
10373;Cermei;2608;22;13;12;0;0;0;0;1;0;23;14;13;16;-2;-3
10417;Chisindia;1175;16;10;9;0;0;0;3;1;0;20;14;13;13;1;0
10453;Conop;2136;21;13;12;0;0;0;5;2;0;28;20;19;19;1;0
10514;Covăsinţ;2673;22;13;12;0;0;0;5;0;0;27;18;17;19;-1;-2
10532;Craiva;2858;25;15;14;0;0;0;5;1;0;31;21;20;19;2;1
10649;Dezna;1038;16;10;9;0;0;0;5;2;3;26;20;19;12;8;7
10701;Dieci;1405;18;11;10;0;0;0;3;1;3;25;18;17;15;3;2
10765;Ususău;1461;16;10;9;0;0;0;5;2;0;23;17;16;10;7;6
10827;Felnac;3202;22;13;12;0;3;3;10;2;4;41;32;31;20;12;11
10872;Ghioroc;4054;27;16;15;3;0;0;5;2;0;37;26;25;25;1;0
10916;Grăniceri;2479;21;13;12;0;0;0;0;1;0;22;14;13;13;1;0
10943;Gurahonţ;3612;25;15;14;3;0;0;5;4;3;40;30;29;16;14;13
11058;Hălmagiu;2214;22;13;12;0;0;0;5;3;0;30;21;20;18;3;2
11174;Hălmăgel;959;14;8;8;0;0;0;5;2;0;21;15;15;13;2;2
11236;Hăşmaş;1152;15;9;8;0;0;0;5;1;1;22;16;15;13;3;2
11307;Igneşti;655;10;6;6;0;0;0;2;1;2;15;11;11;8;3;3
11352;Iratoşu;2542;22;13;12;0;0;0;5;1;4;32;23;22;17;6;5
11398;Macea;7167;40;24;22;0;0;0;3;1;0;44;28;26;31;-3;-5
11423;Mişca;3875;26;16;14;0;0;0;0;2;0;28;18;16;27;-9;-11
11478;Moneasa;809;11;7;6;0;3;1;3;1;0;18;11;11;13;-2;-2
11502;Olari;1977;18;11;10;0;0;0;5;1;0;24;17;16;18;-1;-2
11539;Păuliş;4355;29;17;16;0;4;4;10;1;0;44;32;31;22;10;9
11584;Pecica;14176;113;68;62;4;14;12;10;1;0;142;95;89;95;0;-6
11637;Peregu Mare;1745;17;10;9;0;0;0;5;1;0;23;16;15;14;2;1
11664;Petriş;1293;16;10;9;0;0;0;5;2;3;26;20;19;16;4;3
11735;Pilu;2146;19;11;10;0;0;0;10;0;2;31;23;22;16;7;6
11762;Pleşcuţa;1003;15;9;8;0;0;0;0;1;0;16;10;9;11;-1;-2
11842;Săvârşin;2802;22;13;12;3;0;0;8;4;2;39;30;29;26;4;3
11940;Secusigiu;6134;36;22;20;0;6;5;5;1;1;49;34;32;30;4;2
11995;Seleuş;2865;25;15;14;0;3;2;8;1;8;45;34;33;20;14;13
12037;Semlac;4263;28;17;15;0;0;0;5;1;0;34;23;21;26;-3;-5
12055;Sintea Mare;3768;25;15;14;0;0;0;5;1;0;31;21;20;22;-1;-2
12091;Sântana;15520;120;72;66;3;16;13;10;1;0;150;99;93;79;20;14
12126;Socodor;2279;20;12;11;3;0;0;5;0;5;33;25;24;21;4;3
12144;Şagu;4177;28;17;15;0;0;0;5;2;0;35;24;22;19;5;3
12206;Şeitin;3155;22;13;12;0;0;0;3;0;0;25;16;15;17;-1;-2
12224;Şepreuş;2754;22;13;12;0;3;2;3;1;0;29;19;18;23;-4;-5
12242;Şicula;4113;30;18;17;0;4;3;5;1;2;42;29;28;17;12;11
12288;Şilindia;854;11;7;6;0;0;0;8;2;0;21;17;16;9;8;7
12340;Şimand;4367;29;17;16;0;0;0;5;1;0;35;23;22;26;-3;-4
12368;Şiria;9079;43;26;24;3;9;8;8;2;0;65;46;44;34;12;10
12402;Şiştarovăţ;399;10;6;6;0;0;0;3;1;0;14;10;10;11;-1;-2
12457;Tauţ;1429;16;10;9;0;0;0;8;2;0;26;20;19;13;7;6
12509;Târnova;6047;36;22;20;3;6;5;5;2;3;55;40;38;36;4;2
12572;Vărădia De Mureş;1555;17;10;9;0;0;0;5;1;3;26;19;18;16;3;2
12643;Vinga;7253;40;24;22;3;0;0;8;1;0;52;36;34;30;6;4
12689;Vârfurile;2291;22;13;12;3;0;0;0;1;0;26;17;16;15;2;1
12778;Zăbrani;4287;30;18;17;0;4;4;3;1;1;39;27;25;25;2;0
12812;Zărand;2940;22;13;12;0;3;2;10;1;0;36;27;26;27;0;-1
12849;Zerind;1455;16;10;9;0;0;0;8;0;0;24;18;17;14;4;3
12876;Zimandu Nou;5262;30;18;17;0;5;4;8;2;0;45;32;31;22;10;9
12912;Dorobanţi;1537;17;10;9;0;0;0;5;0;0;22;15;14;14;1;0
12920;Frumuşeni;2772;22;13;12;0;3;2;3;0;0;28;19;17;19;0;-2
12938;Zădăreni;2996;26;16;14;0;0;0;5;1;2;34;24;22;17;7;5
38;CJ Argeş;610907;605;363;333;43;129;103;10;0;0;787;519;489;681;-162;-192
13169;Piteşti;164405;699;419;384;40;177;137;10;0;0;926;606;571;808;-202;-237
13187;Bascov;11146;49;29;27;0;11;9;3;2;0;65;44;41;52;-8;-11
13276;Bradu;9507;43;26;24;0;10;8;8;1;0;62;43;41;49;-6;-8
13301;Mioveni;33109;157;94;86;13;66;28;10;0;14;260;159;151;181;-22;-30
13365;Mărăcineni;5560;30;18;17;3;5;5;0;1;0;39;27;25;26;1;-1
13392;Ştefăneşti;16499;128;77;70;0;16;14;8;2;0;154;101;94;97;4;-3
13490;Câmpulung;32688;239;143;131;14;37;27;10;0;0;300;195;183;246;-51;-63
13524;Valea Mare-Pravăţ;4162;29;17;16;0;0;0;0;2;0;31;19;18;19;0;-1
13622;Curtea De Argeş;30682;217;130;119;13;31;26;10;0;0;271;179;168;176;3;-8
13668;Costeşti;9613;85;51;47;9;0;0;8;2;0;104;70;66;57;13;9
13757;Topoloveni;9220;85;51;47;7;0;0;8;0;0;100;66;62;77;-11;-15
13819;Albeştii De Argeş;5879;34;20;19;0;0;0;5;0;9;48;34;33;22;12;11
13891;Albeştii De Muscel;1407;17;10;9;0;0;0;0;1;0;18;11;10;11;0;-1
13935;Albota;4152;27;16;15;0;0;0;3;2;0;32;21;20;17;4;3
13999;Aninoasa;3213;22;13;12;0;0;0;3;2;0;27;18;17;22;-4;-5
14049;Arefu;2121;22;13;12;0;0;0;0;0;0;22;13;12;16;-3;-4
14085;Băbana;2829;22;13;12;0;0;0;5;2;0;29;20;19;17;3;2
14165;Băiculeşti;5847;35;21;19;0;0;0;5;1;0;41;27;25;21;6;4
14272;Bălileşti;3785;28;17;15;0;0;0;0;2;1;31;20;18;25;-5;-7
14352;Beleţi-Negreşti;1704;17;10;9;0;0;0;0;1;0;18;11;10;10;1;0
14405;Berevoeşti;3406;23;14;13;0;0;0;0;2;0;25;16;15;19;-3;-4
14450;Bârla;3925;30;18;17;0;0;0;0;1;0;31;19;18;20;-1;-3
14584;Bogaţi;4088;30;18;17;0;0;0;5;2;0;37;25;24;24;1;-1
14673;Boteni;2172;22;13;12;0;0;0;3;1;0;26;17;16;16;1;0
14726;Boţeşti;1017;14;8;8;0;0;0;0;1;0;15;9;9;7;2;2
14753;Brăduleţ;1597;17;10;9;0;0;0;0;0;0;17;10;9;10;0;-1
14851;Budeasa;4223;28;17;15;0;4;4;8;1;1;42;30;29;30;0;-1
14922;Bughea De Jos;3075;22;13;12;0;0;0;0;1;0;23;14;13;21;-7;-8
14940;Buzoeşti;5037;34;20;19;0;0;0;8;1;0;43;29;28;25;4;3
15064;Căldăraru;1988;21;13;12;0;0;0;0;2;0;23;15;14;16;-1;-2
15108;Călineşti;10954;53;32;29;0;0;0;5;1;0;59;38;35;45;-7;-10
15233;Căteasca;3604;26;16;14;0;0;0;5;0;0;31;21;19;20;1;-1
15313;Cepari;1954;19;11;10;0;0;0;0;2;0;21;13;12;19;-6;-7
15402;Cetăţeni;2808;22;13;12;0;0;0;0;1;0;23;14;13;18;-4;-5
15448;Cicăneşti;1956;18;11;10;0;0;0;8;0;0;26;19;18;13;6;5
15493;Ciofrângeni;2140;22;13;12;0;0;0;3;1;0;26;17;16;14;3;2
15554;Ciomăgeşti;994;13;8;7;0;0;0;0;0;0;13;8;7;10;-2;-3
15652;Cocu;2009;19;11;10;0;0;0;0;2;0;21;13;12;16;-3;-4
15741;Corbeni;5534;33;20;18;0;0;0;3;1;0;37;24;22;21;3;1
15830;Corbi;3738;28;17;15;0;0;0;0;1;0;29;18;16;17;1;-1
15901;Coşeşti;5140;31;19;17;0;0;0;0;2;0;33;21;19;23;-2;-4
15983;Cotmeana;1730;17;10;9;0;0;0;0;2;1;20;13;12;14;-1;-2
16132;Cuca;1836;18;11;10;0;0;0;3;0;0;21;14;13;11;3;2
16285;Davideşti;3081;22;13;12;0;0;0;0;0;0;22;13;12;10;3;2
16329;Dâmbovicioara;838;11;7;6;0;0;0;0;0;2;13;9;8;9;0;-1
16365;Dârmăneşti;3379;24;14;13;0;0;0;5;1;0;30;20;19;22;-2;-3
16427;Dobreşti;1658;17;10;9;0;0;0;0;1;0;18;11;10;15;-4;-5
16454;Domneşti;2977;22;13;12;4;0;0;5;0;0;31;22;21;25;-3;-4
16472;Dragoslavele;2573;22;13;12;0;0;0;0;1;0;23;14;13;16;-2;-3
16506;Drăganu;1934;17;10;9;0;0;0;0;1;1;19;12;11;14;-2;-3
16551;Godeni;2664;22;13;12;0;0;0;0;1;0;23;14;13;20;-6;-7
16613;Hârseşti;2048;20;12;11;0;0;0;0;0;0;20;12;11;17;-5;-6
16659;Hârtieşti;2314;20;12;11;0;0;0;5;1;0;26;18;17;15;3;2
16739;Izvoru;2053;20;12;11;0;0;0;0;1;0;21;13;12;14;-1;-2
16757;Leordeni;5187;33;20;18;0;0;0;0;1;0;34;21;19;31;-10;-12
16908;Lereşti;4199;30;18;17;0;0;0;5;0;0;35;23;22;21;2;1
16944;Lunca Corbului;2423;22;13;12;0;0;0;8;2;0;32;23;22;20;3;2
17049;Mălureni;4524;30;18;17;0;0;0;0;1;0;31;19;18;21;-2;-4
17101;Merişani;4636;30;18;17;0;0;0;0;2;0;32;20;19;29;-9;-11
17209;Miceşti;4836;30;18;17;0;0;0;0;1;0;31;19;18;19;0;-2
17254;Mihăeşti;6071;34;20;19;0;0;0;0;2;0;36;22;21;20;2;1
17334;Mioarele;1461;17;10;9;0;0;0;5;0;0;22;15;14;14;1;0
17398;Miroşi;2028;21;13;12;0;0;0;0;0;0;21;13;12;14;-1;-2
17423;Morăreşti;1600;17;10;9;0;0;0;0;1;0;18;11;10;11;0;-1
17496;Moşoaia;7578;42;25;23;0;0;0;5;2;0;49;32;30;23;9;7
17575;Mozăceni;1779;20;12;11;0;0;0;0;1;0;21;13;12;16;-3;-4
17619;Muşăteşti;3443;26;16;14;0;0;0;0;2;0;28;18;16;19;-1;-3
17726;Negraşi;1731;20;12;11;0;0;0;0;0;0;20;12;11;12;0;-1
17771;Nucşoara;1296;16;10;9;0;0;0;0;1;0;17;11;10;14;-3;-4
17824;Oarja;2714;22;13;12;0;3;2;0;1;0;26;16;15;20;-4;-5
17851;Pietroşani;5257;33;20;18;0;0;0;0;1;0;34;21;19;25;-4;-6
17913;Poienarii De Argeş;883;14;8;8;0;0;0;8;1;0;23;17;17;10;7;7
17968;Poienarii De Muscel;3032;23;14;13;0;0;0;0;0;0;23;14;13;19;-5;-6
18028;Poiana Lacului;6204;39;23;21;0;0;0;0;0;0;39;23;21;29;-6;-8
18162;Popeşti;1685;17;10;9;0;0;0;0;1;0;18;11;10;12;-1;-2
18242;Priboieni;3327;23;14;13;0;0;0;0;1;0;24;15;14;21;-6;-7
18331;Răteşti;2800;22;13;12;0;0;0;0;0;0;22;13;12;18;-5;-6
18411;Recea;2410;22;13;12;0;0;0;0;1;0;23;14;13;21;-7;-8
18475;Rociu;2243;22;13;12;0;0;0;3;2;0;27;18;17;14;4;3
18527;Rucăr;5604;34;20;19;0;0;0;0;0;0;34;20;19;21;-1;-2
18554;Sălătrucu;2063;19;11;10;0;0;0;0;0;0;19;11;10;13;-2;-3
18581;Săpata;1535;17;10;9;0;0;0;5;1;0;23;16;15;16;0;-1
18670;Schitu Goleşti;5068;30;18;17;0;0;0;5;2;0;37;25;24;22;3;2
18741;Slobozia;4264;30;18;17;0;0;0;0;0;0;30;18;17;25;-7;-9
18778;Stâlpeni;4702;30;18;17;0;0;0;0;1;0;31;19;18;24;-5;-7
18858;Stoeneşti;4200;30;18;17;0;0;0;0;1;0;31;19;18;18;1;-1
